Survey code,Description
1104,Comercial 3L 2004 IEO
1106,Comercial 3L 2006 IEO
1107,Comercial 3L 2007 IEO
1207,Comercial 3M 2007 IEO
1273-01,Sebastes Irminger NW 2001
1328-00,Sebastes Islandia NW 2000
1351-00,Sebastes Islandia NW 2000
1536-00,Sebastes Islandia SE 2000
1579-02,Sebastes Islandia SW 2002
1833-00,Sebastes Islandia NW 2000
1880-00,Sebastes Islandia SW 2000
1880-02,Sebastes Irminger NW 2002
1972-01,Sebastes Islandia SE-SW 2001
2103,Comercial 3L 2003 IEO
2104,Comercial 3LMN 2004 IEO
2105,Comercial 3M 2005 IEO
2107,Comercial 3LN 2007 IEO
2170-01,Sebastes Islandia SW-Irminger NW 2001
2203-02,Sebastes Islandia SW 2002
3306,Comercial 3L 2006 IEO
3L04,Científica 3L 2004 IEO
3L06,Científica 3L 2006 IEO
3L07,Científica 3L 2007 IEO
3LZEE07,Científica 3L ZEE 2007 IEO
4103,Comercial 3LM 2003 IEO
4105,Comercial 3L 2005 IEO
4106,Comercial 3L 2006 IEO
4107,Comercial 3L 2007 IEO
5105,Comercial 3LN 2005 IEO
6206,Comercial 3L 2006 IEO
8105,Comercial 3L 2005 IEO
A12-01,Sebastes Islandia SE-SW 2001
A7-00,Sebastes Islandia SE-SW 2000
A7-01,Sebastes Islandia SW 2001
A8-01,Sebastes Irminger-CEN-XII+Irminger NW 2001
A9-02,Sebastes Islandia SE-SW 2002
B13-00,Sebastes Islandia SE-SW 2000
B13-01,Sebastes Islandia SE-SW 2001
B14-02,Sebastes Islandia SE-SW 2002
B2-01,Sebastes Islandia SW 2001
B4-00,Sebastes Islandia SW 2000
B4-01,Sebastes Islandia SW 2001
B6-00,Sebastes Islandia SE-SW 2000
B8-00,Sebastes Islandia SW 2000
dm-04,Campaña Demersales 2004 IEO
dm-07,Campaña Demersales 2007 IEO
dm-08,Campaña Demersales 2008 IEO
ec-04,Campaña Ecoprest 2004 IEO
FC04,Flemish Cap (3M) 2004 IEO
FC05,Flemish Cap (3M) 2005 IEO
FC06,Flemish Cap (3M) 2006 IEO
FC07,Flemish Cap (3M) 2007 IEO
gl-03,Galicia lonja 2003 IIM
gl-04,Galicia lonja 2004 IIM
gl-05,Galicia lonja 2005 IIM
gl-06,Galicia lonja 2006 IIM
gl-07,Galicia 2007 IIM
gl-08,Galicia 2008 IIM
gl-09,Galicia lonja 2009 IIM
gl-10,Galicia lonja 2010 IIM
gl-11,Galicia lonja 2011 IIM
gl-12,Galicia lonja 2012 IIM
gs-07,Gran Sol 2007
gs-08,Gran Sol 2008
ID209,Mediterráneo
ID210,Mediterráneo
IR1101,Sebastes Irminger NW 2001
IR2102,Sebastes Irminger-CEN-XII 2002
IR3100,Sebastes Irminger NW 2000
IR3101,Sebastes Irminger-CEN-XII 2001
IR3200,Sebastes Irminger-CEN-XII-NW 2000
IR4101,Sebastes Irminger-CEN-XII 2001
mzx-00,Galicia merluza 2000 IIM
mzx-99,Galicia merluza 1999 IIM
pcp-07,Porcupine 2007
pcp-08,Porcupine 2008
PLA03,Platuxa (3N) 2003 IEO
PLA06,Platuxa (3N) 2006 IEO
PLA07,Platuxa (3O) 2007 IEO
TB1-01,Sebastes Islandia SW 2001
TBR1-02,Sebastes Islandia SE 2002
TJ1-00,Sebastes Islandia SE-SW 2000
TL1-00,Sebastes Islandia SE 2000
TL1-01,Sebastes Islandia SE 2001
TL1-02,Sebastes Islandia SW 2002
WH221-00,Sebastes Groenlandia E-W 2000
WH233-01,Sebastes Groenlandia E-W 2001
